0,1
1,12652
2,15743
4,4692
5,7575
7,1762
8,9244
10,18258
11,2108
13,13116
14,7584
16,15121
17,16683
19,18330
20,15408
22,15658
23,5232
25,628
26,7185
28,3799
29,7942
31,1678
32,11971
34,9521
35,5420
37,15018
38,10694
40,1328
41,4158
43,3698
44,7620
46,5289
47,2129
49,3031
50,15316
52,9010
53,10939
55,2925
56,12646
58,17786
59,1727
61,16188
62,18088
64,6176
65,12995
67,8105
68,18270
70,2875
71,15770
73,18092
74,13092
76,8643
77,12084
79,417
80,10318
82,12006
83,4869
85,13636
86,5975
88,9226
89,14995
91,12431
92,5958
94,14143
95,4604
97,17968
98,3262
100,2939
101,18575
103,18427
104,6596
106,3375
107,15671
109,1329
110,8929
112,6753
113,16587
115,15570
116,6316
118,6696
119,4098
121,662
122,16127
124,18409
125,13781
127,9690
128,10153
130,3805
131,14953
133,13195
134,16263
136,13611
137,14781
139,10928
140,9577
142,3540
143,15078
145,11261
146,3872
148,9014
149,15793
151,7725
152,96
154,1334
155,128
157,711
158,9754
160,12015
161,16346
163,14246
164,3613
166,617
167,5957
169,9341
170,13279
172,17719
173,1498
175,10771
176,18726
178,14571
179,9
181,1175
182,10794
184,17629
185,6628
187,16310
188,2290
190,8454
191,3496
193,9700
194,8459
196,11320
197,4220
199,14364
200,13143
202,7893
203,17954
205,5050
206,16771
208,14196
209,4311
211,7988
212,4862
214,9959
215,9957
217,1436
218,3495
220,13703
221,4531
223,5105
224,4339
226,2537
227,12020
229,1693
230,7013
232,14263
233,74
235,8332
236,8318
238,14334
239,16712
241,14382
242,1488
244,10066
245,6163
247,15370
248,9401
250,7645
251,13178
253,8433
254,3225
256,9718
257,9224
259,2833
260,8372
262,1219
263,12791
265,10773
266,864
268,6516
269,16902
271,12113
272,939
274,17541
275,7608
277,12342
278,17524
280,4996
281,1732
283,16575
284,7065
286,2689
287,4293
289,2692
290,12105
292,6741
293,3769
295,13353
296,5894
298,13662
299,5434
301,13943
302,17164
304,11128
305,636
307,14567
308,16013
310,10585
311,17775
313,6421
314,18764
316,16571
317,5891
319,13897
320,4724
322,7787
323,13836
325,12616
326,7308
328,10538
329,1735
331,9617
332,7006
334,16158
335,9250
337,5750
338,13358
340,2017
341,6326
343,13414
344,14874
346,6742
347,18265
349,10109
350,14429
352,10363
353,863
355,11212
356,12715
358,3852
359,13168
361,12346
362,3193
364,7985
365,12567
367,14001
368,12930
370,5575
371,334
